"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-8c7a11ca461d4247b3a23d15f1efbb74";"FlowRelationship";"info de producto";"";"id-2f3fe8c9e7274541a5d494f8e8caecef";"id-07b95f7382f84e96be0d38803df4d5b9";""
"id-6b748906559e41f194eb27d8766d356a";"FlowRelationship";"información de primas";"";"id-dc114c3d90694f878eb5588a72edef37";"id-2f3fe8c9e7274541a5d494f8e8caecef";""
"id-c3df37451be4412dbbfee9bcc5e9d017";"FlowRelationship";"información de primas";"";"id-dc114c3d90694f878eb5588a72edef37";"id-67d92293805648fcb995e897cfe7d790";""
"id-25b64548627647cd80e4f7b6b823c09c";"FlowRelationship";"interacciones de clientes";"";"id-e2dc2820b1904ced800b499c2da9723a";"id-f134ed0a1eb845aea3e33e6cf25607d7";""
"id-4e5ab0ae0c6d45ba9655b4b62a7b2597";"FlowRelationship";"nuevos contratos, primas vencidas";"";"id-f285f6424b3b44ab80222c7b224de3ff";"id-8b2d8b6f780d4355943fbfa66deea48b";""
"id-58b0cd72846c48908244bede34de05d5";"FlowRelationship";"obligaciones financieras";"";"id-67d92293805648fcb995e897cfe7d790";"id-8b2d8b6f780d4355943fbfa66deea48b";""
"id-054fedd336d14bf3a9424f7d73ed7744";"FlowRelationship";"pagos de reclamaciones vencidos";"";"id-8b2d8b6f780d4355943fbfa66deea48b";"id-9ff5d8b1ea8e4a1eaea060fc31d782c5";""
"id-92547519972a45569196c9b408111b26";"FlowRelationship";"perfiles de clientes";"";"id-7ce7d0b450e34c718b860708b906b15b";"id-7aeff755ee2841e2b44e6f0cfc8327f7";""
"id-8df1f39850304e05bab1ca4e876b0e0f";"FlowRelationship";"politicas";"";"id-f285f6424b3b44ab80222c7b224de3ff";"id-38d9835262b640d7924c2ae37113c49e";""
"id-d2a2076494614131903f4b7e79896cc0";"FlowRelationship";"reclamos";"";"id-0b4b90b820e44b25a985b2057a8f4f82";"id-ba15d8fe78c147dc9a97344e1c1d1ffa";""
"id-94bbd7aa71844c04abca52a2d2ef3d7d";"FlowRelationship";"reclamos";"";"id-ba15d8fe78c147dc9a97344e1c1d1ffa";"id-9ff5d8b1ea8e4a1eaea060fc31d782c5";""
"id-89462bee47e74342b5f5c1ffe7cbe8c6";"FlowRelationship";"riesgo financiero";"";"id-dc114c3d90694f878eb5588a72edef37";"id-8b2d8b6f780d4355943fbfa66deea48b";""
"id-a23a276c53424d91a8fb24e676a25d02";"FlowRelationship";"solicitudes";"";"id-38d9835262b640d7924c2ae37113c49e";"id-f285f6424b3b44ab80222c7b224de3ff";""
"id-df050e216dab45a2ac0c598a5ef9738e";"InfluenceRelationship";"";"";"id-5204f01a814948919511915ca2d242a3";"id-08bc8346417f44dd9251c58cab455d0b";""
"id-70f1e857eb9d4468b9e0da4537e71772";"InfluenceRelationship";"";"";"id-a9de1e4c97534eb683d14f1e5139328c";"id-08bc8346417f44dd9251c58cab455d0b";""
"id-d8c98e438fed4bd78736437165fe5f7c";"InfluenceRelationship";"";"";"id-a5e8e0fb1371480ab7fba1568d539001";"id-08bc8346417f44dd9251c58cab455d0b";""
"id-90daf7b7f9b643139e505ee26010eab5";"InfluenceRelationship";"";"";"id-a9de1e4c97534eb683d14f1e5139328c";"id-a5e8e0fb1371480ab7fba1568d539001";""
"id-8807bd5180c840f0b5001c0dfd3ec19f";"InfluenceRelationship";"";"";"id-5204f01a814948919511915ca2d242a3";"id-a5e8e0fb1371480ab7fba1568d539001";""
"id-f0761ee52aae4415b7a2a1f0db0a4975";"InfluenceRelationship";"";"";"id-60a67ea9489947368a1fe9d806d7ba4c";"id-a9de1e4c97534eb683d14f1e5139328c";""
"id-b47ff9be3ab74697b870a563e13426aa";"InfluenceRelationship";"";"";"id-c2ec88f8826c4e319cd0cf2fa9a8bb3b";"id-a9de1e4c97534eb683d14f1e5139328c";""
"id-ae4f9c2f743b4858a37326e3e8390ee8";"InfluenceRelationship";"";"";"id-454024792d6a407bab061f3a09b1b0c2";"id-c2ec88f8826c4e319cd0cf2fa9a8bb3b";""
